cycle,e_sweep,e_obs,attr_std,trans_std,e_alt,attr_r1,r1_disagree,trans_r1,pop_xor,attr_r2,r2_disagree,trans_r2,e_lag,attr_r3,r3_disagree,trans_r3,e_r4,attr_r4,r4_disagree,trans_r4,rot_k,epoch_mask
43,44,43,4,0,59,2,1,0,7,4,0,0,42,4,0,0,51,2,1,1,6,5353
44,45,44,4,0,37,4,0,1,9,4,0,0,43,4,0,0,43,4,0,1,6,5353
45,46,45,4,0,32,4,0,0,4,4,0,0,44,4,0,0,58,2,1,1,6,5353
46,47,46,4,0,47,4,0,0,9,4,0,0,45,4,0,0,25,4,0,1,6,5353
47,48,47,4,0,43,4,0,0,5,4,0,0,46,4,0,0,36,4,0,0,9,5031
48,49,48,4,0,25,4,0,0,5,4,0,0,47,4,0,0,21,4,0,0,9,5031
49,50,49,4,0,29,4,0,0,7,4,0,0,48,4,0,0,61,2,1,1,9,5031
50,51,50,2,1,18,4,1,0,4,4,1,0,49,4,1,0,45,4,1,1,9,5031
51,52,51,2,0,23,4,1,0,9,4,1,0,50,2,0,1,13,4,1,0,9,5031
52,53,52,2,0,9,4,1,0,6,4,1,0,51,2,0,0,5,4,1,0,9,5031
53,54,53,2,0,12,4,1,0,5,4,1,0,52,2,0,0,29,4,1,0,9,5031
54,55,54,2,0,3,4,1,0,8,4,1,0,53,2,0,0,37,4,1,0,9,5031
55,56,55,2,0,6,4,1,0,5,4,1,0,54,2,0,0,21,4,1,0,9,5031
56,57,56,2,0,61,2,0,1,8,4,1,0,55,2,0,0,61,2,0,1,9,5031
57,58,57,2,0,59,2,0,0,7,4,1,0,56,2,0,0,45,4,1,1,9,5031
58,59,58,2,0,55,2,0,0,7,4,1,0,57,2,0,0,13,4,1,0,9,5031
59,60,59,2,0,50,2,0,0,7,4,1,0,58,2,0,0,13,4,1,0,9,5031
60,61,60,2,0,44,4,1,1,10,4,1,0,59,2,0,0,5,4,1,0,9,5031
61,62,61,2,0,42,4,1,0,7,4,1,0,60,2,0,0,21,4,1,0,9,5031
62,63,62,2,0,39,4,1,0,8,4,1,0,61,2,0,0,53,2,0,1,9,5031
63,0,63,3,1,34,4,1,0,9,4,1,0,62,2,1,0,37,4,1,1,12,3741
64,1,0,1,1,2,4,1,0,0,1,0,1,63,3,1,1,58,2,1,1,12,3741
65,2,2,4,1,9,4,0,0,4,4,0,1,0,1,1,1,59,2,1,0,12,3741
66,3,2,4,0,10,4,0,0,7,4,0,0,2,4,0,1,59,2,1,0,12,3741
67,4,3,4,0,14,4,0,0,4,4,0,0,2,4,0,0,59,2,1,0,12,3741
68,5,4,4,0,19,4,0,0,6,4,0,0,3,4,0,0,56,2,1,0,12,3741
69,6,5,4,0,20,4,0,0,6,4,0,0,4,4,0,0,56,2,1,0,12,3741
70,7,6,4,0,26,4,0,0,8,4,0,0,5,4,0,0,57,2,1,0,12,3741
71,8,7,4,0,29,4,0,0,7,4,0,0,6,4,0,0,57,2,1,0,12,3741
72,9,9,4,0,32,4,0,0,7,4,0,0,7,4,0,0,62,2,1,0,12,3741
73,10,10,4,0,45,4,0,0,8,4,0,0,9,4,0,0,63,3,1,1,12,3741
74,11,10,4,0,46,4,0,0,7,4,0,0,10,4,0,0,63,3,1,0,12,3741
75,12,11,4,0,42,4,0,0,6,4,0,0,10,4,0,0,63,3,1,0,12,3741
76,13,12,4,0,55,2,1,1,10,4,0,0,11,4,0,0,60,2,1,1,12,3741
77,14,13,4,0,48,4,0,1,7,4,0,0,12,4,0,0,60,2,1,0,12,3741
78,15,14,4,0,62,2,1,1,8,4,0,0,13,4,0,0,61,2,1,0,12,3741
79,16,15,4,0,58,2,1,0,7,4,0,0,14,4,0,0,20,4,0,1,2,6772
80,17,16,4,0,10,4,0,1,3,4,0,0,15,4,0,0,43,4,0,0,2,6772
81,18,17,4,0,13,4,0,0,6,4,0,0,16,4,0,0,44,4,0,0,2,6772
82,19,18,4,0,3,4,0,0,6,4,0,0,17,4,0,0,35,4,0,0,2,6772
83,20,20,4,0,26,4,0,0,8,4,0,0,18,4,0,0,57,2,1,1,2,6772
84,21,21,4,0,30,4,0,0,8,4,0,0,20,4,0,0,61,2,1,0,2,6772
85,22,21,4,0,29,4,0,0,7,4,0,0,21,4,0,0,62,2,1,0,2,6772
86,23,22,4,0,17,4,0,0,6,4,0,0,21,4,0,0,51,2,1,0,2,6772
87,24,23,4,0,23,4,0,0,9,4,0,0,22,4,0,0,53,2,1,0,2,6772
88,25,24,4,0,44,4,0,0,6,4,0,0,23,4,0,0,9,4,0,1,2,6772
89,26,25,4,0,41,4,0,0,5,4,0,0,24,4,0,0,12,4,0,0,2,6772
90,27,26,4,0,36,4,0,0,7,4,0,0,25,4,0,0,0,1,1,1,2,6772
91,28,27,4,0,35,4,0,0,5,4,0,0,26,4,0,0,7,4,0,1,2,6772
92,29,28,4,0,62,2,1,1,6,4,0,0,27,4,0,0,25,4,0,0,2,6772
93,30,29,4,0,59,2,1,0,5,4,0,0,28,4,0,0,28,4,0,0,2,6772
94,31,30,4,0,53,2,1,0,9,4,0,0,29,4,0,0,19,4,0,0,2,6772
95,32,32,4,0,16,4,0,1,3,4,0,0,30,4,0,0,39,4,0,0,5,2515
96,33,32,4,0,19,4,0,0,1,4,0,0,32,4,0,0,57,2,1,1,5,2515
97,34,33,4,0,23,4,0,0,9,4,0,0,32,4,0,0,30,4,0,1,5,2515
98,35,34,4,0,24,4,0,0,8,4,0,0,33,4,0,0,41,4,0,0,5,2515
99,36,35,4,0,30,4,0,0,8,4,0,0,34,4,0,0,31,4,0,0,5,2515
100,37,36,4,0,3,4,0,0,5,4,0,0,35,4,0,0,42,4,0,0,5,2515
101,38,37,4,0,4,4,0,0,7,4,0,0,36,4,0,0,16,4,0,0,5,2515
102,39,38,4,0,10,4,0,0,7,4,0,0,37,4,0,0,44,4,0,0,5,2515
103,40,39,4,0,13,4,0,0,3,4,0,0,38,4,0,0,21,4,0,0,5,2515
104,41,41,4,0,48,4,0,0,5,4,0,0,39,4,0,0,7,4,0,0,5,2515
105,42,41,4,0,51,2,1,1,5,4,0,0,41,4,0,0,27,4,0,0,5,2515
106,43,42,4,0,63,3,1,1,3,4,0,0,41,4,0,0,50,2,1,1,5,2515
107,44,43,4,0,57,2,1,1,9,4,0,0,42,4,0,0,1,4,0,1,5,2515
108,45,44,4,0,39,4,0,1,5,4,0,0,43,4,0,0,46,4,0,0,5,2515
109,46,45,4,0,35,4,0,0,3,4,0,0,44,4,0,0,9,4,0,0,5,2515
110,47,46,4,0,44,4,0,0,6,4,0,0,45,4,0,0,62,2,1,1,5,2515
111,48,47,4,0,42,4,0,0,7,4,0,0,46,4,0,0,32,4,0,1,8,1870
112,49,48,4,0,27,4,0,0,7,4,0,0,47,4,0,0,0,1,1,1,8,1870
113,50,49,4,0,30,4,0,0,6,4,0,0,48,4,0,0,4,4,0,1,8,1870
114,51,51,2,1,21,4,1,0,4,4,1,0,49,4,1,0,20,4,1,0,8,1870
115,52,52,2,0,10,4,1,0,7,4,1,0,51,2,0,1,28,4,1,0,8,1870
116,53,52,2,0,9,4,1,0,4,4,1,0,52,2,0,0,60,2,0,1,8,1870
117,54,53,2,0,12,4,1,0,4,4,1,0,52,2,0,0,56,2,0,0,8,1870
118,55,54,2,0,3,4,1,0,7,4,1,0,53,2,0,0,52,2,0,0,8,1870
119,56,55,2,0,7,4,1,0,3,4,1,0,54,2,0,0,40,4,1,1,8,1870
120,57,56,2,0,61,2,0,1,6,4,1,0,55,2,0,0,20,4,1,0,8,1870
121,58,57,2,0,57,2,0,0,5,4,1,0,56,2,0,0,40,4,1,0,8,1870
122,59,58,2,0,54,2,0,0,8,4,1,0,57,2,0,0,20,4,1,0,8,1870
123,60,59,2,0,48,4,1,1,6,4,1,0,58,2,0,0,44,4,1,0,8,1870
124,61,60,2,0,45,4,1,0,8,4,1,0,59,2,0,0,28,4,1,0,8,1870
125,62,61,2,0,43,4,1,0,7,4,1,0,60,2,0,0,56,2,0,1,8,1870
126,63,62,2,0,37,4,1,0,7,4,1,0,61,2,0,0,52,2,0,0,8,1870
127,0,63,3,1,35,4,1,0,9,4,1,0,62,2,1,0,27,4,1,1,11,7482
128,1,0,1,1,1,4,1,0,0,1,0,1,63,3,1,1,52,2,1,1,11,7482
129,2,1,4,1,5,4,0,0,3,4,0,1,0,1,1,1,52,2,1,0,11,7482
130,3,2,4,0,10,4,0,0,6,4,0,0,1,4,0,1,52,2,1,0,11,7482
131,4,3,4,0,12,4,0,0,5,4,0,0,2,4,0,0,20,4,0,1,11,7482
132,5,4,4,0,16,4,0,0,4,4,0,0,3,4,0,0,53,2,1,1,11,7482
133,6,5,4,0,22,4,0,0,4,4,0,0,4,4,0,0,53,2,1,0,11,7482
134,7,6,4,0,26,4,0,0,7,4,0,0,5,4,0,0,21,4,0,1,11,7482
