transform,disagree_rate,max_shift,mi,h_std,h_t,a3_survival,a1_to_a2,a2_to_a1,verdict
R1-Desync,0.35383333333333333,0.002666666666666668,0.015166640526429487,0.20793739990435084,0.7281041605748029,0.0,0.0,0.017456359102244388,MODEL BREAKS
R2-PopCount,0.22133333333333333,0.21199999999999997,0.10082192755006858,0.20793739990435084,0.13902182365237206,0.0,0.0,0.0,MODEL BREAKS
R3-Lag1,0.0595,0.0001666666666666674,0.7315370347644794,0.20793739990435084,0.20922226635867172,0.12264150943396226,0.0,0.0,MODEL BREAKS
R4-Rotation,0.377,0.010333333333333417,0.0017344226462463008,0.20793739990435084,0.9255081970729615,0.0,0.21794871794871795,0.015793848711554447,MODEL BREAKS
